RANKED SIMILARITIES: 1
1 71 1.86483709932
1 29 1.87505398872
1 27 1.89733281968
1 7 1.89899340756
1 92 1.89907532731
1 77 1.89939718368
1 35 1.89961739418
1 26 1.8998668958
1 24 1.90001216715
1 20 1.9002404733
1 46 1.90055987811
1 49 1.90095154675
1 61 1.90110598376
1 58 1.90112187461
1 63 1.9014996293
1 59 1.90175162993
1 97 1.90175796256
1 73 1.90176112463
1 68 1.90176548776
1 83 1.90176636225
1 8 1.90176861127
1 76 1.90177694915
1 88 1.90177828054
1 32 1.90178644386
1 95 1.90178685088
1 33 1.90178759473
1 65 1.90178764625
1 80 1.90179051665
1 90 1.90179083031
1 94 1.90179171717
1 57 1.90179224456
1 89 1.90179226026
1 78 1.90179259686
1 86 1.90179290403
1 37 1.90179407586
1 15 1.90179434661
1 96 1.90179442132
1 43 1.90179518647
1 91 1.90179524465
1 74 1.90179549395
1 85 1.90179565085
1 44 1.90179565085
1 62 1.90179565085
1 79 1.90179565085
1 45 1.90179565085
1 2 1.90179565085
1 6 1.90179565085
1 47 1.90179565085
1 30 1.90179565085
1 82 1.90179565085
1 75 1.90179565085
1 70 1.90401772738
1 17 1.90572590072
1 31 1.90713596962
1 18 1.90862138244
1 22 1.90981096973
1 23 1.91225035437
1 42 1.91434430239
1 10 1.92420134686
1 5 1.92917785243
1 93 1.92970772636
1 14 1.93159439425
1 16 1.93669053508
1 28 1.93933844365
1 54 1.93940316552
1 3 1.93978892616
1 81 1.94123060506
1 84 1.94266504867
1 72 1.94306958068
1 66 1.94350567455
1 11 1.94739606706
1 36 1.94778079282
1 34 1.95098207934
1 4 1.9521936406
1 41 1.95273553317
1 9 1.95439414956
1 21 1.95769749601
1 50 1.96292704085
1 19 1.96688312402
1 60 1.96918692047
1 12 1.97045928215
1 13 1.9704951578
1 69 1.97146382551
1 56 1.97284666523
1 38 1.97304592123
1 39 1.97431528343
1 40 1.98195162683
1 51 1.98367922438
1 25 inf
1 48 inf
1 52 inf
1 53 inf
1 55 inf
1 64 inf
1 67 inf
1 87 inf
RANKED SIMILARITIES: 2
2 27 1.30401102761
2 6 1.30481392953
2 76 1.42400672318
2 91 1.45002147332
2 92 1.4883077624
2 78 1.49569509504
2 63 1.4966461461
2 58 1.5719972714
2 44 1.58627978048
2 32 1.60884381524
2 83 1.61093542544
2 15 1.65591943845
2 82 1.65979769137
2 97 1.66646394889
2 90 1.68524581383
2 80 1.71357688795
2 94 1.72349878263
2 7 1.73040511336
2 47 1.73295750719
2 85 1.77326917789
2 75 1.7825902224
2 30 1.79274411093
2 59 1.79619478269
2 62 1.79821195991
2 71 1.79938036599
2 95 1.80393944789
2 57 1.8063584472
2 88 1.80894025241
2 89 1.81449229399
2 77 1.82582701441
2 73 1.84236108036
2 68 1.84296750948
2 96 1.84640654347
2 33 1.84814110633
2 65 1.85382662722
2 46 1.85705954106
2 43 1.86204171134
2 35 1.86490570049
2 37 1.86810217709
2 79 1.87152489869
2 29 1.87693121101
2 20 1.88303825432
2 8 1.88470821188
2 49 1.88551893507
2 74 1.88948362644
2 45 1.89286679997
2 26 1.89515702457
2 61 1.89619446739
2 86 1.90010334427
2 24 1.90059222377
2 70 1.90389086365
2 17 1.90585637898
2 31 1.90713596962
2 18 1.90862530259
2 23 1.91214385941
2 22 1.91260135694
2 42 1.91434430239
2 5 1.91921296903
2 10 1.92420526898
2 14 1.93246746396
2 93 1.93306319018
2 4 1.93511158512
2 16 1.93669818898
2 3 1.93916781423
2 28 1.93933844365
2 54 1.93942531984
2 81 1.94123981205
2 84 1.94267425566
2 72 1.94307020432
2 9 1.94447605222
2 11 1.94677627833
2 66 1.94706258639
2 36 1.95080155931
2 34 1.95098207934
2 41 1.95273644418
2 19 1.95624190641
2 21 1.95769749601
2 12 1.95959848278
2 13 1.96229111843
2 50 1.96292783164
2 56 1.96687405811
2 69 1.97142667871
2 60 1.9729069371
2 38 1.97304592123
2 39 1.97431528343
2 40 1.98118699147
2 51 1.98367922438
2 25 inf
2 48 inf
2 52 inf
2 53 inf
2 55 inf
2 64 inf
2 67 inf
2 87 inf
RANKED SIMILARITIES: 3
3 32 0.933201063098
3 68 0.939924196507
3 63 0.982677062643
3 89 1.01699671019
3 94 1.05105843463
3 69 1.39126970521
3 83 1.49292916567
3 45 1.53713739885
3 16 1.55817433612
3 14 1.56087733519
3 54 1.56348514001
3 44 1.56420272777
3 8 1.57643022213
3 75 1.60244421505
3 18 1.60515445874
3 73 1.61882346413
3 88 1.63406143716
3 97 1.64712730111
3 79 1.66838551674
3 40 1.67245140476
3 31 1.67286528935
3 7 1.67844537262
3 95 1.67894225523
3 51 1.69830764393
3 34 1.70873103238
3 37 1.71779073931
3 33 1.71990952851
3 76 1.72549494792
3 41 1.74603153566
3 72 1.7971579352
3 35 1.82473665031
3 20 1.83917663533
3 92 1.89963346471
3 27 1.89981508391
3 46 1.90000717894
3 24 1.90003253812
3 70 1.90007855523
3 71 1.90014931752
3 26 1.90019395872
3 49 1.90023269229
3 93 1.90044406188
3 58 1.90048314068
3 61 1.90051612819
3 59 1.90089962736
3 12 1.9015122428
3 17 1.9026988667
3 22 1.90304616637
3 77 1.90482483618
3 23 1.90538013658
3 11 1.90792323521
3 66 1.90857332254
3 36 1.91247682182
3 80 1.93421084503
3 2 1.93916781423
3 85 1.93983546014
3 29 1.93984646985
3 65 1.93984646985
3 5 1.93984646985
3 90 1.93984680018
3 10 1.9398476986
3 57 1.93984821443
3 78 1.93984856673
3 86 1.93984887391
3 15 1.93985031648
3 96 1.93985039119
3 43 1.93985115634
3 91 1.93985121452
3 74 1.93985146382
3 47 1.93985162072
3 28 1.93985162072
3 62 1.93985162072
3 6 1.93985162072
3 30 1.93985162072
