RANKED SIMILARITIES: 1
1 6 0.948566162438
1 32 0.962144008904
1 44 0.973031807702
1 89 0.973660037997
1 69 0.985825074968
1 95 0.993835773539
1 63 1.01235912344
1 33 1.01467700117
1 68 1.0218253617
1 3 1.03433433127
1 31 1.04328011138
1 94 1.051477506
1 51 1.05677749964
1 97 1.06114175076
1 73 1.07493367898
1 14 1.09254109348
1 83 1.21211628269
1 16 1.22004912213
1 92 1.2765654714
1 40 1.31461226745
1 76 1.37796172468
1 8 1.3856429215
1 54 1.44220729768
1 18 1.44783410835
1 27 1.48115428897
1 45 1.4853614333
1 37 1.53900507836
1 75 1.54224687038
1 79 1.54731798605
1 7 1.5549302144
1 88 1.57132770091
1 2 1.58490128752
1 91 1.66987114007
1 78 1.67863145404
1 58 1.67951490583
1 41 1.69630301555
1 71 1.7492603523
1 82 1.76685447435
1 80 1.76755685951
1 34 1.76911121549
1 15 1.77200308402
1 90 1.77577648522
1 30 1.79096245991
1 72 1.79593794234
1 35 1.79816905363
1 20 1.80566039005
1 47 1.80573269459
1 26 1.80765504412
1 59 1.82002234027
1 77 1.82247242468
1 57 1.82423690853
1 62 1.83181709633
1 29 1.8359604149
1 46 1.84234416618
1 66 1.84709587687
1 93 1.85110204863
1 96 1.85326770088
1 49 1.85813756542
1 43 1.85831584552
1 24 1.8594293287
1 17 1.86021295191
1 28 1.86188349112
1 22 1.86321037794
1 12 1.86359405745
1 23 1.86400637112
1 86 1.86638919645
1 61 1.86734981332
1 65 1.8687712319
1 74 1.87062530526
1 70 1.87158875026
1 85 1.87737366587
1 36 1.88110308765
1 60 1.88396410318
1 42 1.88428271378
1 10 1.89462768454
1 11 1.89480109118
1 5 1.89750822059
1 84 1.89869650282
1 4 1.90195695718
1 81 1.90274927271
1 50 1.90956409157
1 9 1.9104173393
1 19 1.91112350608
1 21 1.91166535018
1 13 1.91405577384
1 38 1.91734488608
1 39 1.9195826974
1 56 1.91972055728
1 25 inf
1 48 inf
1 52 inf
1 53 inf
1 55 inf
1 64 inf
1 67 inf
1 87 inf
RANKED SIMILARITIES: 2
2 85 0.55110321841
2 6 0.667675902534
2 32 0.681262955991
2 44 0.692141547798
2 89 0.692773168677
2 69 0.704936053291
2 95 0.712954313603
2 63 0.731889380168
2 33 0.733794797381
2 68 0.740968429787
2 31 0.762401072493
2 3 0.764425770199
2 94 0.77060159094
2 51 0.775893569539
2 97 0.782550933431
2 73 0.794089216184
2 14 0.812523903287
2 83 0.931273429168
2 16 0.939166516131
2 92 1.01502681775
2 40 1.0447874917
2 8 1.10471143033
2 76 1.10806904737
2 78 1.159457256
2 54 1.161342357
2 18 1.16694776859
2 45 1.20447117339
2 27 1.2125552526
2 37 1.25812402545
2 75 1.26135661048
2 79 1.26643722086
2 7 1.27943502369
2 88 1.3014256361
2 91 1.34394803088
2 58 1.41089314518
2 41 1.41541366666
2 15 1.44569205117
2 82 1.45627375599
2 34 1.48822728539
2 80 1.49151676089
2 90 1.4948954323
2 47 1.49855761317
2 30 1.510081407
2 72 1.51505688943
2 35 1.53511981927
2 20 1.53804125564
2 71 1.53970896757
2 57 1.54335585562
2 26 1.54646230393
2 59 1.55010290515
2 62 1.55093604342
2 65 1.56029343004
2 77 1.56187310332
2 29 1.56708072991
2 12 1.57038353196
2 96 1.57238664797
2 46 1.57406365791
2 43 1.5774347926
2 28 1.58100243821
2 66 1.58231153358
2 86 1.58550814354
2 93 1.58552643228
2 74 1.58974425235
2 49 1.59157138035
2 24 1.59233608762
2 17 1.59436793295
2 61 1.59842435026
2 4 1.59852226632
2 5 1.59914547469
2 70 1.60237567514
2 22 1.60330085152
2 42 1.60340166087
2 23 1.60420093537
2 19 1.61136812651
2 10 1.61374663163
2 84 1.61781544991
2 9 1.61958039686
2 13 1.61970566114
2 81 1.6218682198
2 60 1.62303982429
2 36 1.62510899346
2 11 1.62518551092
2 50 1.62868303865
2 21 1.63078429727
2 56 1.63285769026
2 38 1.63646383317
2 39 1.63870164449
2 25 inf
2 48 inf
2 52 inf
2 53 inf
2 55 inf
2 64 inf
2 67 inf
2 87 inf
RANKED SIMILARITIES: 3
3 51 0.0842205908081
3 97 0.0961733405215
3 32 0.112269880349
3 89 0.119490981417
3 44 0.123013040385
3 94 0.124884110341
3 95 0.128081443873
3 6 0.128090645122
3 69 0.162327878627
3 63 0.163269004025
3 68 0.173755448068
3 33 0.177087866324
3 73 0.201905087181
3 31 0.204701697082
3 14 0.204927525254
3 83 0.228587580127
3 16 0.318100030974
3 40 0.38486069252
3 92 0.436056639124
3 76 0.492986023471
3 8 0.526277161848
3 18 0.533019397339
3 75 0.554863732209
3 54 0.588685200265
3 27 0.633760397674
3 45 0.642774095827
3 37 0.680427178395
3 79 0.685044873892
3 7 0.694714145208
3 88 0.702955662108
3 2 0.764425770199
3 58 0.832098290248
3 91 0.849395622753
3 78 0.858155936726
3 41 0.858185178629
3 34 0.917326646339
3 35 0.941901313182
3 82 0.94637895703
3 80 0.94708539832
3 15 0.951527566708
3 20 0.954544370216
3 90 0.955305024024
3 72 0.960577955916
3 71 0.960914112638
3 26 0.967672599863
3 30 0.970490998717
3 59 0.971491764444
3 77 0.983082151691
3 47 0.985257177279
3 46 0.995134982975
3 66 1.00352111589
3 57 1.00376544734
3 93 1.0067424514
3 62 1.01134563514
3 49 1.01295451645
3 24 1.01340887461
3 17 1.0155625055
3 61 1.0196346462
3 70 1.02358597107
3 22 1.02437896678
3 23 1.02493186325
3 96 1.03279623969
3 12 1.0366219491
3 43 1.03784438433
3 28 1.04141202993
3 29 1.04280469796
3 60 1.04536589616
3 86 1.04591773526
3 36 1.04631928939
3 11 1.04640153004
3 65 1.04829856832
3 74 1.05015384407
3 85 1.05689814855
3 42 1.06381125259
3 10 1.07415622335
3 5 1.07703323557
3 84 1.07822504163
3 4 1.08148143986
3 81 1.08227781152
3 50 1.08909263038
3 9 1.08994182199
3 19 1.09064798876
3 21 1.09119388899
3 13 1.09358025652
3 38 1.09687342489
3 39 1.09911123621
3 56 1.09924503996
3 25 inf
3 48 inf
3 52 inf
3 53 inf
3 55 inf
3 64 inf
3 67 inf
3 87 inf
RANKED SIMILARITIES: 4
4 47 0.174175819187
4 12 0.183080264773
4 19 0.223049487265
4 9 0.250048606043
4 56 0.276708167115
4 82 0.297999099004
4 15 0.306655373038
4 6 0.974366667639
4 65 0.974441406621
4 32 0.997647260647
4 44 1.00852585245
4 89 1.00921033202
4 69 1.02132035795
