RANKED SIMILARITIES: 1 (converts to 0, then to 0) 
1 71 1.86483709932 (20, 17) 1styeargrad
1 29 1.87505398872 (4, 2) mlgrad
1 27 1.89733281968 (34, 0) 
1 7 1.89899340756 (21, 18) 1styeargrad
1 92 1.89907532731 (46, 39) sloan
1 77 1.89939718368 (89, 77) sloan
1 35 1.89961739418 (0, 0) sloan
1 26 1.8998668958 (63, 53) 1styeargrad
1 24 1.90001216715 (78, 67) mlfrosh
1 20 1.9002404733 (74, 63) sloan
1 46 1.90055987811 (93, 81) sloan
1 49 1.90095154675 (50, 42) mlgrad
1 61 1.90110598376 (79, 68) mlfrosh
1 58 1.90112187461 (33, 29) mlfrosh
1 63 1.9014996293 (36, 31) mlgrad
1 59 1.90175162993 (7, 5) grad
1 97 1.90175796256 (22, 19) 1styeargrad
1 73 1.90176112463 (70, 59) sloan
1 68 1.90176548776 (38, 33) mlfrosh
1 83 1.90176636225 (5, 3) mlgrad
1 8 1.90176861127 (18, 0) 
1 76 1.90177694915 (82, 71) 1styeargrad
1 88 1.90177828054 (17, 15) mlstaff
1 32 1.90178644386 (0, 0) graduated
1 95 1.90178685088 (9, 7) professor
1 33 1.90178759473 (41, 35) mlstaff
1 65 1.90178764625 (53, 44) mlgrad
1 80 1.90179051665 (27, 23) mlgrad
1 90 1.90179083031 (13, 11) grad
1 94 1.90179171717 (10, 8) mlgrad
1 57 1.90179224456 (23, 20) mlgrad
1 89 1.90179226026 (26, 22) 1styeargrad
1 78 1.90179259686 (12, 10) mlgrad
1 86 1.90179290403 (8, 6) mlgrad
1 37 1.90179407586 (94, 82) mlgrad
1 15 1.90179434661 (15, 13) 1styeargrad
1 96 1.90179442132 (25, 21) mlgrad
1 43 1.90179518647 (101, 89) mlgrad
1 91 1.90179524465 (35, 30) mlgrad
1 74 1.90179549395 (75, 64) mlgrad
1 85 1.90179565085 (6, 4) mlgrad
1 44 1.90179565085 (0, 0) 3rdyeargrad
1 62 1.90179565085 (104, 92) mlgrad
1 79 1.90179565085 (76, 65) sloan
1 45 1.90179565085 (84, 73) sloan
1 2 1.90179565085 (29, 25) mlgrad
1 6 1.90179565085 (3, 1) 1styeargrad
1 47 1.90179565085 (90, 78) mlgrad
1 30 1.90179565085 (68, 57) mlgrad
1 82 1.90179565085 (83, 72) mlgrad
1 75 1.90179565085 (100, 88) 1styeargrad
1 70 1.90401772738 (40, 34) mlfrosh
1 17 1.90572590072 (0, 0) 5 year media lab
1 31 1.90713596962 (0, 0) sloan
1 18 1.90862138244 (30, 26) mlgrad
1 22 1.90981096973 (49, 41) sloan
1 23 1.91225035437 (61, 51) sloan
1 42 1.91434430239 (51, 0) 
1 10 1.92420134686 (37, 32) mlgrad
1 5 1.92917785243 (24, 0) 
1 93 1.92970772636 (65, 54) mlgrad
1 14 1.93159439425 (16, 14) 1styeargrad
1 16 1.93669053508 (102, 90) mlurop
1 28 1.93933844365 (0, 0) 6years
1 54 1.93940316552 (91, 0) mlgrad
1 3 1.93978892616 (32, 28) mlfrosh
1 81 1.94123060506 (19, 16) 1styeargrad
1 84 1.94266504867 (77, 66) sloan
1 72 1.94306958068 (81, 70) sloan
1 66 1.94350567455 (42, 36) sloan
1 11 1.94739606706 (88, 76) 1styeargrad
1 36 1.94778079282 (54, 45) sloan
1 34 1.95098207934 (96, 84) mlgrad
1 4 1.9521936406 (55, 46) sloan
1 41 1.95273553317 (0, 0) prof
1 9 1.95439414956 (0, 0) mlUrop
1 21 1.95769749601 (103, 91) mlgrad
1 50 1.96292704085 (86, 74) sloan
1 19 1.96688312402 (56, 47) sloan
1 60 1.96918692047 (67, 56) mlgrad
1 12 1.97045928215 (97, 85) sloan
1 13 1.9704951578 (87, 75) mlstaff
1 69 1.97146382551 (28, 24) 1styeargrad
1 56 1.97284666523 (95, 83) sloan
1 38 1.97304592123 (52, 43) sloan
1 39 1.97431528343 (60, 50) mlgrad
1 40 1.98195162683 (98, 86) sloan
1 51 1.98367922438 (58, 49) 1styeargrad
1 25 inf (0, 0) sloan
1 48 inf (0, 0) Germany
1 52 inf (0, 0) 
1 53 inf (43, 37) mlgrad
1 55 inf (0, 0) urop_hd
1 64 inf (66, 55) sloan
1 67 inf (0, 0) sloan
1 87 inf (92, 80) mlgrad
RANKED SIMILARITIES: 2 (converts to 29, then to 25) mlgrad
2 27 1.30401102761 (34, 0) 
2 6 1.30481392953 (3, 1) 1styeargrad
2 76 1.42400672318 (82, 71) 1styeargrad
2 91 1.45002147332 (35, 30) mlgrad
2 92 1.4883077624 (46, 39) sloan
2 78 1.49569509504 (12, 10) mlgrad
2 63 1.4966461461 (36, 31) mlgrad
2 58 1.5719972714 (33, 29) mlfrosh
2 44 1.58627978048 (0, 0) 3rdyeargrad
2 32 1.60884381524 (0, 0) graduated
2 83 1.61093542544 (5, 3) mlgrad
